Time_gap_onramp,Distance_gap_upcoming_vehicle,Time_gap_upcoming_vehicle,Is_gap_accepted,Response_time,Participant_no,Dwell_to_mirror
4,20,4,0,1600,5,0.9375
4,20,4,0,1313,5,0.730769230769231
4,20,4,0,1409,5,0.857142857142857
4,20,4,0,1276,5,0.96
4,20,4,0,1394,5,0.814814814814815
4,20,4,0,1600,5,0.71875
4,20,4,0,1540,5,0.933333333333333
4,20,4,0,2174,5,0.86046511627907
4,20,4,0,1246,5,1
4,20,4,0,1687,5,0.545454545454545
4,20,4,0,1152,5,1
4,20,4,0,1396,5,0.888888888888889
4,20,4,0,1066,5,1
4,20,4,0,1149,5,1
4,20,4,0,1873,5,1
4,20,4,0,1378,5,0.740740740740741
4,20,4,0,1661,6,0.363636363636364
4,20,4,0,2305,6,0.543478260869565
4,20,4,0,1283,6,0.32
4,20,4,0,1321,6,0.461538461538462
4,20,4,0,1376,6,0.37037037037037
4,20,4,0,1266,6,0.4
4,20,4,0,1347,6,0.346153846153846
4,20,4,0,1339,6,0.615384615384615
4,20,4,0,1461,6,0.620689655172414
4,20,4,0,1182,6,0.391304347826087
4,20,4,0,1662,6,0.545454545454545
4,20,4,0,1319,6,0.538461538461538
4,20,4,0,1304,6,0.5
4,20,4,0,2605,7,0.442307692307692
4,20,4,0,2711,7,0.518518518518518
4,20,4,0,2496,7,0.551020408163265
4,20,4,0,2592,7,0.509803921568627
4,20,4,0,2295,7,0.533333333333333
4,20,4,0,1466,8,0.482758620689655
4,20,4,0,1446,8,0.714285714285714
4,20,4,0,1160,8,0.869565217391304
4,20,4,0,1364,8,0.777777777777778
4,20,4,0,1051,8,0.619047619047619
4,20,4,0,1411,8,0.857142857142857
4,20,4,0,1311,8,0.769230769230769
4,20,4,0,1408,8,0.857142857142857
4,20,4,0,1497,8,0.896551724137931
4,20,4,0,2056,8,0.707317073170732
4,20,4,0,1310,8,0.884615384615385
4,20,4,0,1647,8,0.90625
4,20,4,0,1644,8,0.75
4,20,4,0,2127,8,0.69047619047619
4,20,4,0,1970,8,0.641025641025641
4,20,4,0,2502,9,0.8
4,20,4,0,2494,9,0.918367346938776
4,20,4,0,2701,9,0.907407407407407
4,20,4,0,3156,9,0.603174603174603
4,20,4,0,3410,9,0.588235294117647
4,20,4,0,3000,9,0.616666666666667
4,20,4,0,1618,9,0.6875
4,20,4,0,1927,9,0.552631578947368
4,20,4,0,2313,9,0.478260869565217
4,20,4,0,2050,9,0.780487804878049
4,20,4,0,1975,9,0.692307692307692
4,20,4,0,2313,9,0.695652173913043
4,20,4,0,1716,9,0.617647058823529
4,20,4,0,1868,9,0.648648648648649
4,20,4,0,2200,9,0.636363636363636
4,20,4,0,1778,9,0.571428571428571
4,20,4,0,1577,9,0.67741935483871
