tta_or_condition,d_condition,tta_condition,is_gap_accepted,RT,subj_id,dwell_time,decision
4,20,4,True,0.665,20,0.692307692307692,Merge
4,20,4,True,0.971,20,0.684210526315789,Merge
4,20,4,True,0.871,20,0.647058823529412,Merge
4,20,4,True,0.829,20,0.625,Merge
4,20,4,True,0.615,20,1.0,Merge
4,20,4,True,0.764,20,0.733333333333333,Merge
4,20,4,True,0.594,20,0.909090909090909,Merge
4,20,4,True,0.67,20,1.0,Merge
4,20,4,True,0.948,20,0.666666666666667,Merge
4,20,4,True,0.379,20,1.0,Merge
4,20,4,True,1.115,20,0.681818181818182,Merge
4,20,4,True,0.465,20,1.0,Merge
4,20,4,True,0.315,20,1.0,Merge
4,20,4,True,0.265,20,1.0,Merge
4,20,4,True,0.338,20,1.0,Merge
4,20,4,True,1.815,21,0.611111111111111,Merge
4,20,4,True,1.065,22,0.761904761904762,Merge
4,20,4,True,1.967,22,0.58974358974359,Merge
4,20,4,True,2.592,22,0.588235294117647,Merge
4,20,4,True,1.638,22,0.6875,Merge
4,20,4,True,1.714,22,0.735294117647059,Merge
4,20,4,True,1.514,22,0.5,Merge
4,20,4,True,1.464,22,0.448275862068966,Merge
4,20,4,True,1.118,22,0.636363636363636,Merge
4,20,4,True,2.329,22,0.543478260869565,Merge
4,20,4,True,1.37,22,0.666666666666667,Merge
4,20,4,True,1.15,22,0.608695652173913,Merge
4,20,4,True,1.795,22,0.485714285714286,Merge
4,20,4,True,1.366,22,0.666666666666667,Merge
4,20,4,True,1.088,22,0.619047619047619,Merge
4,20,4,True,1.148,23,0.727272727272727,Merge
4,20,4,True,1.298,23,0.84,Merge
4,20,4,True,0.865,23,0.764705882352941,Merge
4,20,4,True,0.899,23,0.647058823529412,Merge
4,20,4,True,0.768,23,0.933333333333333,Merge
4,20,4,True,0.74,23,0.714285714285714,Merge
4,20,4,True,0.822,23,0.75,Merge
4,20,4,True,0.965,23,0.789473684210526,Merge
4,20,4,True,0.844,23,0.625,Merge
4,20,4,True,0.908,23,0.722222222222222,Merge
4,20,4,True,0.843,23,0.8125,Merge
4,20,4,True,0.527,23,0.7,Merge
4,20,4,True,0.565,23,0.818181818181818,Merge
4,20,4,True,0.665,23,0.769230769230769,Merge
4,20,4,True,0.693,23,0.769230769230769,Merge
4,20,4,True,0.741,23,0.785714285714286,Merge
4,20,4,True,1.181,23,0.608695652173913,Merge
4,20,4,True,0.669,23,0.846153846153846,Merge
4,20,4,True,0.781,23,0.733333333333333,Merge
4,20,4,True,0.675,23,0.846153846153846,Merge
4,20,4,True,1.864,24,0.513513513513513,Merge
4,20,4,True,1.386,24,0.62962962962963,Merge
4,20,4,True,1.242,24,0.625,Merge
4,20,4,True,1.073,24,0.80952380952381,Merge
4,20,4,True,1.415,25,0.75,Merge
4,20,4,True,2.381,25,0.723404255319149,Merge
4,20,4,True,2.415,25,0.770833333333333,Merge
4,20,4,True,1.512,25,0.7,Merge
4,20,4,True,1.215,25,1.0,Merge
4,20,4,True,1.31,25,0.653846153846154,Merge
4,20,4,True,2.064,25,0.804878048780488,Merge
4,20,4,True,2.089,25,0.609756097560976,Merge
4,20,4,True,1.504,25,0.566666666666667,Merge
4,20,4,True,1.914,25,0.526315789473684,Merge
4,20,4,True,1.183,26,0.826086956521739,Merge
4,20,4,True,2.167,26,0.441860465116279,Merge
4,20,4,True,1.765,26,0.514285714285714,Merge
4,20,4,True,1.15,26,0.652173913043478,Merge
4,20,4,True,1.402,26,0.5,Merge
4,20,4,True,1.301,26,0.538461538461538,Merge
4,20,4,True,1.081,26,0.761904761904762,Merge
4,20,4,True,1.565,26,0.580645161290323,Merge
4,20,4,True,0.973,26,0.526315789473684,Merge
4,20,4,False,1.293,3,0.68,Wait
4,20,4,False,1.549,3,0.666666666666667,Wait
4,20,4,False,1.9,3,0.526315789473684,Wait
4,20,4,False,1.499,3,0.793103448275862,Wait
4,20,4,False,1.588,3,0.516129032258065,Wait
4,20,4,False,1.347,3,0.653846153846154,Wait
4,20,4,False,1.893,3,0.72972972972973,Wait
4,20,4,False,1.897,3,0.540540540540541,Wait
4,20,4,False,2.207,3,0.772727272727273,Wait
4,20,4,False,1.426,3,0.607142857142857,Wait
4,20,4,False,1.372,3,0.62962962962963,Wait
4,20,4,False,1.612,4,0.8125,Wait
4,20,4,False,1.453,4,0.689655172413793,Wait
4,20,4,False,1.221,4,0.708333333333333,Wait
4,20,4,False,1.244,4,0.833333333333333,Wait
4,20,4,False,1.35,4,0.703703703703704,Wait
4,20,4,False,1.998,4,0.666666666666667,Wait
4,20,4,False,2.014,4,0.725,Wait
4,20,4,False,1.274,4,0.52,Wait
4,20,4,False,2.365,4,0.553191489361702,Wait
4,20,4,False,1.875,4,0.405405405405405,Wait
4,20,4,False,2.027,4,0.65,Wait
4,20,4,False,1.754,4,0.571428571428571,Wait
4,20,4,False,1.625,4,0.4375,Wait
4,20,4,False,1.54,4,0.5,Wait
4,20,4,False,1.913,4,0.578947368421053,Wait
4,20,4,False,1.448,4,0.571428571428571,Wait
4,20,4,False,1.417,5,0.857142857142857,Wait
4,20,4,False,1.167,5,0.826086956521739,Wait
4,20,4,False,1.546,5,0.566666666666667,Wait
4,20,4,False,1.134,5,1.0,Wait
4,20,4,False,1.708,5,1.0,Wait
4,20,4,False,1.642,5,1.0,Wait
4,20,4,False,1.422,5,0.821428571428571,Wait
4,20,4,False,1.384,5,0.888888888888889,Wait
4,20,4,False,1.558,5,0.645161290322581,Wait
4,20,4,False,1.26,5,0.96,Wait
4,20,4,False,1.37,5,0.888888888888889,Wait
4,20,4,False,1.6,5,0.9375,Wait
4,20,4,False,1.313,5,0.730769230769231,Wait
4,20,4,False,1.409,5,0.857142857142857,Wait
4,20,4,False,1.276,5,0.96,Wait
4,20,4,False,1.394,5,0.814814814814815,Wait
4,20,4,False,1.6,5,0.71875,Wait
4,20,4,False,1.54,5,0.933333333333333,Wait
4,20,4,False,2.174,5,0.86046511627907,Wait
4,20,4,False,1.246,5,1.0,Wait
4,20,4,False,1.687,5,0.545454545454545,Wait
4,20,4,False,1.152,5,1.0,Wait
4,20,4,False,1.396,5,0.888888888888889,Wait
4,20,4,False,1.066,5,1.0,Wait
4,20,4,False,1.149,5,1.0,Wait
4,20,4,False,1.873,5,1.0,Wait
4,20,4,False,1.378,5,0.740740740740741,Wait
4,20,4,False,1.661,6,0.363636363636364,Wait
4,20,4,False,2.305,6,0.543478260869565,Wait
4,20,4,False,1.283,6,0.32,Wait
4,20,4,False,1.321,6,0.461538461538462,Wait
4,20,4,False,1.376,6,0.37037037037037,Wait
4,20,4,False,1.266,6,0.4,Wait
4,20,4,False,1.347,6,0.346153846153846,Wait
4,20,4,False,1.339,6,0.615384615384615,Wait
4,20,4,False,1.461,6,0.620689655172414,Wait
4,20,4,False,1.182,6,0.391304347826087,Wait
4,20,4,False,1.662,6,0.545454545454545,Wait
4,20,4,False,1.319,6,0.538461538461538,Wait
4,20,4,False,1.304,6,0.5,Wait
4,20,4,False,2.605,7,0.442307692307692,Wait
4,20,4,False,2.711,7,0.518518518518518,Wait
4,20,4,False,2.496,7,0.551020408163265,Wait
4,20,4,False,2.592,7,0.509803921568627,Wait
4,20,4,False,2.295,7,0.533333333333333,Wait
4,20,4,False,1.466,8,0.482758620689655,Wait
4,20,4,False,1.446,8,0.714285714285714,Wait
4,20,4,False,1.16,8,0.869565217391304,Wait
4,20,4,False,1.364,8,0.777777777777778,Wait
4,20,4,False,1.051,8,0.619047619047619,Wait
4,20,4,False,1.411,8,0.857142857142857,Wait
4,20,4,False,1.311,8,0.769230769230769,Wait
4,20,4,False,1.408,8,0.857142857142857,Wait
4,20,4,False,1.497,8,0.896551724137931,Wait
4,20,4,False,2.056,8,0.707317073170732,Wait
4,20,4,False,1.31,8,0.884615384615385,Wait
4,20,4,False,1.647,8,0.90625,Wait
4,20,4,False,1.644,8,0.75,Wait
4,20,4,False,2.127,8,0.69047619047619,Wait
4,20,4,False,1.97,8,0.641025641025641,Wait
4,20,4,False,2.502,9,0.8,Wait
4,20,4,False,2.494,9,0.918367346938776,Wait
4,20,4,False,2.701,9,0.907407407407407,Wait
4,20,4,False,3.156,9,0.603174603174603,Wait
4,20,4,False,3.41,9,0.588235294117647,Wait
4,20,4,False,3.0,9,0.616666666666667,Wait
4,20,4,False,1.618,9,0.6875,Wait
4,20,4,False,1.927,9,0.552631578947368,Wait
4,20,4,False,2.313,9,0.478260869565217,Wait
4,20,4,False,2.05,9,0.780487804878049,Wait
4,20,4,False,1.975,9,0.692307692307692,Wait
4,20,4,False,2.313,9,0.695652173913043,Wait
4,20,4,False,1.716,9,0.617647058823529,Wait
4,20,4,False,1.868,9,0.648648648648649,Wait
4,20,4,False,2.2,9,0.636363636363636,Wait
4,20,4,False,1.778,9,0.571428571428571,Wait
4,20,4,False,1.577,9,0.67741935483871,Wait
4,20,4,False,2.062,9,0.75609756097561,Wait
4,20,4,False,1.879,9,0.540540540540541,Wait
4,20,4,False,1.293,9,0.72,Wait
4,20,4,False,1.949,9,0.657894736842105,Wait
4,20,4,False,1.803,9,0.444444444444444,Wait
4,20,4,False,1.099,10,0.714285714285714,Wait
4,20,4,False,1.341,10,0.961538461538462,Wait
4,20,4,False,1.082,10,0.904761904761905,Wait
4,20,4,False,1.646,10,0.84375,Wait
4,20,4,False,1.406,10,0.785714285714286,Wait
